jd,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19
2018-01-13,1015.023,932.052,192.976,1103.724,708.543,182.221,882.5780000000001,140.543,413.113,509.0859999999999,254.985,110.673,323.432,1080.7169999999999,1087.081,762.737,155.842,85.411,660.3919999999999,92.05499999999999
2018-01-14,1012.9090000000001,936.227,192.992,1098.647,714.5640000000001,179.70999999999998,883.5120000000001,138.877,414.47799999999995,506.2,256.038,106.20999999999998,322.442,1078.0020000000002,1086.195,761.172,151.365,81.993,656.545,92.441
2018-01-15,1016.7409999999999,936.826,192.828,1099.828,712.79,177.294,882.006,138.596,410.959,504.83,257.51599999999996,106.027,319.706,1073.349,1086.045,760.383,148.396,83.744,654.739,92.808
2018-01-16,1017.5419999999999,932.371,192.15099999999998,1095.608,711.1659999999999,178.367,888.61,141.717,412.88100000000003,501.027,256.604,103.13399999999999,322.112,1080.281,1087.711,761.762,152.659,81.72200000000001,657.946,90.264
2018-01-17,1015.4370000000001,929.774,191.86800000000002,1093.843,709.418,170.856,885.4360000000001,142.512,411.698,500.21700000000004,253.67800000000003,106.474,322.912,1078.548,1087.015,760.268,152.583,78.361,657.036,87.84199999999998
2018-01-18,1015.307,927.6709999999999,187.013,1093.1200000000001,707.306,170.854,883.3100000000001,141.6,411.907,499.925,254.01999999999998,105.991,323.068,1080.4940000000001,1084.29,762.4449999999999,148.77,84.82000000000001,661.6270000000001,86.56099999999999
2018-01-19,1014.457,926.351,184.391,1092.58,707.795,171.103,883.6629999999999,141.014,412.91499999999996,497.901,258.035,105.30999999999999,323.204,1079.272,1088.831,762.958,146.121,83.291,655.986,87.38
2018-01-20,1017.444,928.481,183.49200000000002,1089.931,707.649,171.63299999999998,883.4219999999999,140.036,417.63,502.12100000000004,256.116,108.944,319.46999999999997,1081.176,1089.958,758.7159999999999,149.555,82.20700000000001,654.4290000000001,89.55000000000001
2018-01-21,1014.319,926.9979999999999,188.17700000000002,1091.0600000000002,707.7399999999999,169.983,887.968,144.413,415.47,502.433,252.934,107.95999999999998,318.979,1075.132,1092.429,763.262,146.822,85.355,658.037,87.84
2018-01-22,1009.723,926.472,186.25,1094.283,709.6700000000001,173.013,884.193,140.62199999999999,415.92600000000004,502.81300000000005,251.28699999999998,106.304,318.206,1080.46,1088.722,761.797,148.43,80.642,659.237,88.159
2018-01-23,1018.677,930.217,187.113,1094.491,708.7439999999999,173.28099999999998,887.348,144.351,412.14700000000005,501.32200000000006,255.139,106.915,323.218,1080.223,1086.2969999999998,759.409,142.89100000000002,80.829,657.712,83.729
2018-01-24,1023.38,925.5889999999999,186.915,1092.452,705.4390000000001,171.297,887.337,139.317,415.99899999999997,501.459,258.369,108.94100000000002,323.50600000000003,1074.714,1088.4499999999998,758.261,145.634,83.455,658.168,89.661
2018-01-25,1018.621,930.5200000000001,186.592,1091.576,706.698,170.78,886.049,140.634,417.58599999999996,504.70000000000005,256.059,106.45599999999999,324.685,1078.645,1090.4499999999998,760.737,149.27100000000002,82.76400000000001,658.972,88.87599999999999
