jd,n0,e0,u0,n1,e1,u1,n2,e2,u2
2018-04-22,-168.096,-603.6729999999999,-881.6360000000001,-382.97800000000007,788.4060000000001,483.73299999999995,-1019.4239999999999,-746.777,391.709
2018-04-23,-169.13699999999997,-602.422,-878.692,-384.411,786.348,480.75800000000004,-1020.1450000000001,-748.761,387.19399999999996
2018-04-24,-169.346,-602.109,-875.842,-383.121,785.549,478.101,-1018.99,-748.047,386.54299999999995
2018-04-25,-167.94,-602.758,-872.2719999999999,-382.58799999999997,786.338,476.948,-1018.297,-747.4830000000001,386.135
2018-04-26,-167.06199999999998,-602.938,-872.6440000000001,-384.981,785.3399999999999,479.526,-1021.9879999999999,-748.559,387.666
2018-04-27,-168.788,-604.658,-871.847,-382.492,783.6800000000001,481.38800000000003,-1018.8780000000002,-746.423,385.47800000000007
2018-04-28,-167.505,-603.636,-865.871,-382.51199999999994,786.3829999999999,486.45,-1018.861,-747.4,391.438
2018-04-29,-167.712,-603.0479999999999,-871.3059999999999,-382.035,786.079,482.463,-1017.8510000000001,-747.8520000000001,391.854
2018-04-30,-169.55599999999998,-601.8359999999999,-875.692,-384.344,785.047,480.51000000000005,-1020.7469999999998,-749.479,392.14899999999994
2018-05-01,-171.004,-602.512,-866.2840000000001,-384.264,784.597,480.659,-1020.0610000000001,-749.229,389.882
2018-05-02,-167.85899999999998,-603.314,-873.691,-383.275,786.21,479.317,-1020.7669999999999,-747.3770000000001,386.441
2018-05-03,-168.114,-604.309,-864.7909999999999,-383.33,785.986,487.099,-1019.9830000000001,-748.648,391.538
2018-05-04,-167.592,-605.944,-874.9030000000001,-381.585,785.216,483.998,-1019.5419999999999,-748.022,394.565
2018-05-05,-169.265,-603.011,-872.0389999999999,-382.897,785.2439999999999,482.868,-1020.1469999999999,-749.983,393.945
2018-05-06,-172.013,-601.3720000000001,-871.125,-384.913,783.982,478.637,-1020.602,-751.6709999999999,393.264
2018-05-07,-170.61800000000002,-602.4920000000001,-872.4,-384.938,784.771,481.183,-1021.2700000000001,-748.987,391.348
2018-05-08,-167.698,-602.2149999999999,-872.8370000000001,-383.812,787.353,478.15200000000004,-1019.8610000000001,-747.056,386.136
2018-05-09,-169.08800000000002,-601.181,-870.1260000000001,-383.334,786.6560000000001,479.4390000000001,-1020.5819999999999,-748.36,388.75100000000003
2018-05-10,-168.888,-602.085,-868.519,-382.965,785.713,480.23699999999997,-1020.0340000000001,-747.3499999999999,390.038
2018-05-11,-170.366,-604.9069999999999,-864.927,-382.883,783.556,480.033,-1019.131,-749.0319999999999,389.677
2018-05-12,-167.40099999999998,-604.277,-865.3709999999999,-382.179,786.8609999999999,481.54300000000006,-1019.4889999999999,-746.606,390.16999999999996
2018-05-13,-169.94500000000002,-603.592,-872.34,-383.81399999999996,784.856,480.12,-1018.8090000000001,-748.5619999999999,384.061
2018-05-14,-169.55599999999998,-604.5540000000001,-869.801,-385.432,784.7330000000001,478.67900000000003,-1019.709,-750.1869999999999,385.397
2018-05-15,-168.792,-604.3159999999999,-864.3209999999999,-386.033,786.212,484.22299999999996,-1021.625,-748.0329999999999,390.801
2018-05-16,-168.94400000000002,-604.063,-874.5120000000001,-384.994,785.35,481.322,-1019.3940000000001,-749.112,388.42199999999997
2018-05-17,-169.473,-603.487,-875.156,-384.57199999999995,786.039,480.46700000000004,-1019.8499999999999,-748.085,386.817
2018-05-18,-171.344,-603.4699999999999,-877.835,-386.015,784.9390000000001,477.451,-1020.7950000000001,-749.513,384.419
2018-05-19,-170.723,-603.335,-877.441,-385.47800000000007,784.3,477.555,-1020.06,-749.925,384.62399999999997
2018-05-20,-170.90999999999997,-600.9369999999999,-873.427,-385.57800000000003,785.333,481.94899999999996,-1021.239,-749.947,390.974
2018-05-21,-170.828,-602.6850000000001,-878.1399999999999,-384.367,785.766,476.51400000000007,-1020.203,-748.1260000000001,385.37100000000004
2018-05-22,-170.649,-602.422,-876.848,-386.973,785.444,475.74799999999993,-1022.0910000000001,-749.5619999999999,383.942
2018-05-23,-167.99900000000002,-601.993,-878.5569999999999,-385.403,786.857,477.054,-1021.0549999999998,-748.0790000000001,382.566
2018-05-24,-169.475,-601.882,-875.189,-385.17600000000004,785.552,482.291,-1019.841,-748.4430000000001,387.69899999999996
2018-05-25,-170.284,-601.349,-868.1940000000001,-385.78200000000004,785.0,483.13199999999995,-1020.7649999999999,-750.454,389.76700000000005
2018-05-26,-168.803,-601.488,-870.4830000000001,-384.709,787.587,484.996,-1019.882,-747.306,386.108
2018-05-27,-171.19,-602.7379999999999,-873.626,-384.667,784.929,480.378,-1019.774,-749.987,387.475
2018-05-28,-168.692,-603.949,-875.2049999999999,-384.13000000000005,785.0970000000001,479.27,-1019.0270000000002,-748.7020000000001,384.887
