jd,n0,e0,u0,n1,e1,u1,n2,e2,u2,n3,e3,u3
2016-05-09,-378.055,725.12,208.03000000000003,-270.08000000000004,-391.398,636.8829999999999,-654.694,-259.972,921.259,-776.4979999999999,106.35,138.35
2016-05-10,-377.672,720.9010000000001,206.452,-269.24,-395.463,637.749,-653.207,-262.206,923.6969999999999,-778.7930000000001,102.71500000000002,132.73399999999998
2016-05-11,-380.028,721.232,206.048,-270.87699999999995,-396.363,642.636,-652.949,-261.846,922.1870000000001,-778.241,101.691,125.92
2016-05-12,-379.66,724.9250000000001,205.359,-271.433,-398.384,637.7729999999999,-656.538,-261.651,922.849,-781.87,101.284,125.192
2016-05-13,-379.201,720.955,204.746,-271.642,-401.96500000000003,630.066,-655.616,-264.78200000000004,920.527,-779.808,97.09700000000001,122.52499999999999
2016-05-14,-378.635,723.56,205.87199999999999,-269.993,-398.152,633.1949999999999,-655.515,-261.857,923.3100000000001,-781.179,100.152,122.31900000000002
2016-05-15,-381.21,723.996,205.526,-270.812,-399.125,632.052,-655.605,-262.00500000000005,924.5559999999999,-781.1510000000001,100.51599999999999,122.63399999999999
2016-05-16,-380.175,721.283,205.67800000000003,-271.13000000000005,-399.82099999999997,634.2760000000001,-655.292,-262.278,919.5629999999999,-781.556,99.61399999999999,125.252
2016-05-17,-376.884,724.1419999999999,202.32500000000002,-269.975,-399.58,616.093,-653.188,-260.96799999999996,918.777,-781.144,101.557,122.78699999999999
2016-05-18,-380.97800000000007,724.622,209.96599999999998,-273.05,-401.149,623.1270000000001,-657.9470000000001,-260.665,926.3379999999999,-783.5810000000001,101.818,123.098
2016-05-19,-379.726,725.5699999999999,205.66799999999998,-270.95000000000005,-399.74699999999996,619.262,-657.597,-259.75,918.939,-781.132,105.669,115.237
2016-05-20,-379.838,724.186,209.26799999999997,-273.46,-401.442,621.911,-657.787,-260.881,925.5830000000001,-783.654,104.41900000000001,122.063
2016-05-21,-379.886,725.478,209.249,-276.49,-398.49899999999997,627.838,-657.951,-259.866,924.6320000000001,-783.842,101.58500000000001,127.999
2016-05-22,-380.58200000000005,726.1260000000001,210.945,-274.617,-395.898,626.382,-657.587,-259.151,920.8049999999998,-781.687,103.235,124.84
2016-05-23,-378.222,725.9689999999999,211.43,-271.26300000000003,-394.457,636.419,-656.63,-259.718,927.1940000000001,-780.363,102.96600000000001,131.652
2016-05-24,-380.281,724.272,212.20999999999998,-272.60100000000006,-394.489,635.2939999999999,-659.289,-261.033,928.945,-781.842,101.584,129.716
2016-05-25,-380.184,718.6909999999999,201.602,-268.654,-395.329,631.982,-655.389,-262.616,919.207,-780.1550000000001,101.10900000000001,128.662
2016-05-26,-377.03700000000003,718.349,206.854,-265.893,-392.886,633.455,-652.489,-259.277,923.2940000000001,-779.326,102.88900000000001,129.17000000000002
2016-05-27,-381.40999999999997,721.556,203.94500000000002,-270.728,-394.07,639.746,-656.463,-259.824,918.8129999999999,-783.3050000000001,102.75699999999999,126.62499999999999
2016-05-28,-379.43499999999995,724.4359999999999,206.621,-269.957,-393.997,637.973,-657.6350000000001,-261.465,924.384,-781.5419999999999,103.272,128.494
2016-05-29,-377.927,722.911,209.02499999999998,-268.323,-394.039,636.107,-655.408,-261.232,923.148,-778.0,103.72200000000001,132.81199999999998
2016-05-30,-380.413,724.647,212.81900000000002,-271.68,-394.60200000000003,636.859,-658.1,-261.226,926.2090000000001,-774.211,105.722,128.61199999999997
2016-05-31,-380.164,725.216,205.488,-268.78499999999997,-396.187,638.579,-657.668,-259.78200000000004,924.8299999999999,-773.571,106.15799999999999,122.866
2016-06-01,-382.50500000000005,724.27,205.856,-271.26800000000003,-396.576,637.3,-660.215,-260.66,924.5540000000001,-774.3449999999999,104.85799999999999,121.649
2016-06-02,-383.287,725.286,209.85500000000002,-272.375,-395.332,639.514,-661.7729999999999,-259.178,924.6850000000001,-776.088,105.36500000000001,126.326
2016-06-03,-380.45,723.262,207.46900000000002,-270.563,-396.832,641.179,-658.48,-261.29400000000004,924.791,-773.225,104.28099999999999,126.48
2016-06-04,-380.447,724.582,211.846,-269.08500000000004,-395.65500000000003,639.424,-658.527,-259.876,925.598,-772.1640000000001,105.401,127.72900000000001
2016-06-05,-381.259,725.229,209.44899999999996,-270.785,-394.61899999999997,635.137,-660.0310000000001,-259.892,921.803,-773.0100000000001,106.155,124.19000000000001
2016-06-06,-380.51599999999996,725.375,208.04299999999998,-268.413,-394.73900000000003,637.7779999999999,-659.929,-259.37399999999997,924.3870000000001,-772.9090000000001,106.629,128.067
